Name,Subscriber,View,Debut,Group
Gawr Gura,"4,300,000","337,734,765",2020/09/13,hololive
Kizuna AI,"3,050,000","449,371,907",2016/11/29,Kizuna AI Inc.
Houshou Marine,"2,340,000","507,387,643",2019/08/11,hololive
Mori Calliope,"2,210,000","426,185,052",2020/09/12,hololive
Usada Pekora,"2,190,000","521,922,277",2019/07/17,hololive
Shirakami Fubuki,"2,090,000","373,629,223",2018/06/01,hololive
Inugami Korone,"1,950,000","264,574,163",2019/04/13,hololive
Kobo Kanaeru,"1,930,000","86,255,422",2022/03/27,hololive
Hoshimachi Suisei,"1,820,000","498,390,393",2018/03/22,hololive
Minato Aqua,"1,770,000","277,719,875",2018/08/08,hololive
Hyakumantenbara Salome,"1,740,000","133,275,507",2022/05/24,NIJISANJI
Watson Amelia,"1,730,000","153,001,571",2020/09/13,hololive
filian,"1,710,000","558,011,591",2021/07/21,Independent
Sakura Miko,"1,710,000","314,034,582",2018/08/01,hololive
Shirogane Noel,"1,650,000","202,536,140",2019/08/08,hololive
Nekomata Okayu,"1,580,000","285,534,543",2019/04/06,hololive
Ninomae Inaâ€™nis,"1,510,000","120,062,408",2020/09/13,hololive
Kuzuha,"1,500,000","594,199,695",2018/03/08,NIJISANJI
Oozora Subaru,"1,470,000","243,777,643",2018/09/16,hololive
Takanashi Kiara,"1,450,000","172,909,302",2020/09/12,hololive
Nyatasha Nyanners,"1,440,000","176,535,007",2020/07/17,VShojo
Akai Haato,"1,420,000","197,322,973",2018/06/02,hololive
Kiryu Coco,"1,420,000","183,756,331",2020/08/15,hololive
Nakiri Ayame,"1,380,000","100,967,642",2018/09/03,hololive
Tsunomaki Watame,"1,350,000","266,656,681",2019/12/29,hololive
Amane Kanata,"1,340,000","267,936,761",2019/12/27,hololive
Natsuiro Matsuri,"1,340,000","142,810,037",2018/06/01,hololive
Shishiro Botan,"1,310,000","167,386,816",2020/08/14,hololive
Moona Hoshinova,"1,280,000","92,195,842",2020/04/11,hololive
Vox Akuma,"1,280,000","81,979,187",2021/12/20,NIJISANJI
Kson,"1,250,000","71,129,528",2016/05/01,VShojo
Kureiji Ollie,"1,250,000","66,637,849",2020/12/04,hololive
senzawa,"1,230,000","122,492,341",2016/07/30,Independent
Tokoyami Towa,"1,220,000","180,328,224",2020/01/03,hololive
Shxtou,"1,170,000","76,027,674",2021/10/02,Independent
Kanae,"1,150,000","387,262,965",2018/05/02,NIJISANJI
Murasaki Shion,"1,110,000","145,871,999",2018/08/17,hololive
Yukihana Lamy,"1,110,000","170,264,190",2020/08/12,hololive
Omaru Polka,"1,080,000","169,544,477",2020/08/16,hololive
Ookami Mio,"1,080,000","135,925,124",2018/12/07,hololive
Tokino Sora,"1,080,000","133,942,611",2017/09/07,hololive
Tsukino Mito,"1,070,000","310,538,143",2018/02/08,NIJISANJI
Mysta Rias,"1,050,000","72,272,261",2021/12/20,NIJISANJI
Momosuzu Nene,"1,040,000","104,995,323",2020/08/13,hololive
Sakamata Chloe,"1,020,000","84,698,611",2021/11/29,hololive
Shiranui Flare,"971,000","134,911,798",2019/08/07,hololive
Luca Kaneshiro,"969,000","70,537,368",2021/12/20,NIJISANJI
Yuzuki Choco,"954,000","57,689,957",2018/09/05,hololive
La+ Darknesss,"930,000","105,276,459",2021/11/26,hololive
IRyS,"918,000","72,221,490",2021/07/11,hololive
Inuyama Tamaki,"915,000","283,600,840",2018/09/29,NoriPro
Roboco,"911,000","80,605,894",2018/03/04,hololive
Hoshikawa Sara,"908,000","176,171,465",2019/10/19,NIJISANJI
Himemori Luna,"906,000","73,427,429",2020/01/04,hololive
Ike Eveland,"902,000","39,059,618",2021/12/20,NIJISANJI
Ironmouse,"886,000","53,507,469",2017/08/05,VShojo
Kenmochi Toya,"880,000","153,976,377",2018/03/14,NIJISANJI
Hakui Koyori,"861,000","160,451,427",2021/11/28,hololive
Shu Yamino,"859,000","39,795,054",2021/12/20,NIJISANJI
Ouro Kronii,"851,000","51,404,941",2021/08/23,hololive
Mikeneko,"838,000","12,755,561",2022/04/24,Independent
Sasaki Saku,"827,000","186,202,564",2018/07/07,NIJISANJI
Yozora Mel,"815,000","42,959,961",2018/05/13,hololive
Nanashi Mumei,"812,000","62,591,406",2021/08/23,hololive
Shibuya HAL,"805,000","447,976,578",2018/05/06,Neo-Porte
Ayunda Risu,"804,000","55,554,483",2020/04/10,hololive
Fuwa Minato,"788,000","250,643,401",2019/11/30,NIJISANJI
Ange Katrina,"765,000","134,779,243",2019/03/23,NIJISANJI
AZKi,"761,000","49,222,631",2018/11/15,hololive
Lize Helesta,"753,000","154,978,768",2019/03/23,NIJISANJI
Aki Rosenthal,"750,000","47,380,852",2018/06/07,hololive
Pavolia Reine,"745,000","53,477,788",2020/12/06,hololive
Yashiro Kizuku,"731,000","186,425,952",2018/06/06,NIJISANJI
Inui Toko,"729,000","129,213,013",2019/03/23,NIJISANJI
Kazama Iroha,"727,000","65,566,328",2021/11/30,hololive
Mythia Batford,"717,000","34,362,439",2020/12/01,Independent
Shylily,"715,000","21,268,322",2022/01/10,Independent
Vestia Zeta,"712,000","27,636,528",2022/03/25,hololive
Ars Almal,"710,000","149,168,664",2019/07/28,NIJISANJI
Mayuzumi Kai,"709,000","116,240,113",2019/07/28,NIJISANJI
Ceres Fauna,"708,000","68,770,766",2021/08/23,hololive
Honma Himawari,"706,000","214,078,346",2018/07/11,NIJISANJI
Takane Lui,"702,000","101,272,292",2021/11/27,hololive
Mirai Akari,"700,000","83,329,203",2017/10/27,GOOM STUDIO
Hakos Baelz,"699,000","63,082,454",2021/08/23,hololive
Selen Tatsuki,"698,000","69,452,816",2021/07/17,NIJISANJI
Airani Iofifteen,"688,000","25,780,974",2020/04/12,hololive
Amano Pikamee,"679,000","39,815,729",2020/03/19,VOMS Project
Andi Adinata,"664,000","62,389,353",2019/10/22,MAHA5
Shiina Yuika,"662,000","167,117,843",2018/08/01,NIJISANJI
Higuchi Kaede,"661,000","113,600,470",2018/02/08,NIJISANJI
Suou Patra,"652,000","223,420,276",2018/07/14,774 inc.
Kagami Hayato,"642,000","144,999,055",2019/07/06,NIJISANJI
Yuki Chihiro,"639,000","188,533,052",2018/02/08,NIJISANJI
Alban Knox,"628,000","32,175,181",2022/02/27,NIJISANJI
Veibae,"625,000","29,865,862",2020/04/12,VShojo
Ryushen,"624,000","216,296,916",2018/06/08,NIJISANJI
Anya Melfissa,"614,000","20,939,749",2020/12/05,hololive
Machita Chima,"609,000","119,933,340",2018/09/03,NIJISANJI